action_time,action_type,actor_id,actor_type,attrs,channel_id,channel_type,object_id,object_type,theme,partition_time,amt,currency_code
3696977211,TWD_demand_deposit,14,customer_id,"""{\""action\"": {\""amt\"": 12.716292824188915, \""currency_code\"": \""TWD\""}}"",3696969600",MMB,digital,ZXPQYYTMNBEQMAXCVXNI,credit_card_payment,mybank,3696969600,12.71629282,TWD
3696977211,TWD_demand_deposit,39,customer_id,"""{\""action\"": {\""amt\"": 12.716292824188915, \""currency_code\"": \""TWD\""}}"",3696969600",MMB,digital,ZXPQYYTMNBEQMAXCVXNI,credit_card_payment,mybank,3696969600,12.71629282,TWD
3696978460,fund,23,customer_id,"""{\""action\"": {\""amt\"": 265.2700426424058, \""currency_code\"": \""TWD\""}}"",3696969600",MMB,digital,PKYEOQSCYIJQROCCDIJX,general_purchase,mybank,3696969600,265.2700426,TWD
3696978460,fund,48,customer_id,"""{\""action\"": {\""amt\"": 265.2700426424058, \""currency_code\"": \""TWD\""}}"",3696969600",MMB,digital,PKYEOQSCYIJQROCCDIJX,general_purchase,mybank,3696969600,265.2700426,TWD
3696980372,fund,12,customer_id,"""{\""action\"": {\""amt\"": 8.253316590095476, \""currency_code\"": \""TWD\""}}"",3696969600",MyBank,digital,HJMLYNLMTJMTUYBEKXSA,general_purchase,mybank,3696969600,8.25331659,TWD
3696980372,fund,37,customer_id,"""{\""action\"": {\""amt\"": 8.253316590095476, \""currency_code\"": \""TWD\""}}"",3696969600",MyBank,digital,HJMLYNLMTJMTUYBEKXSA,general_purchase,mybank,3696969600,8.25331659,TWD
3697011443,TWD_demand_deposit,14,customer_id,"""{\""action\"": {\""amt\"": 570.5090369674273, \""currency_code\"": \""USD\""}}"",3696969600",MyBank,digital,OAYVTFPFJFTSCRXTNPWD,credit_card_payment,mybank,3696969600,570.509037,USD
3697011443,TWD_demand_deposit,39,customer_id,"""{\""action\"": {\""amt\"": 570.5090369674273, \""currency_code\"": \""USD\""}}"",3696969600",MyBank,digital,OAYVTFPFJFTSCRXTNPWD,credit_card_payment,mybank,3696969600,570.509037,USD
3697017442,fund,15,customer_id,"""{\""action\"": {\""amt\"": 1133.0722155472808, \""currency_code\"": \""TWD\""}}"",3696969600",MyBank,digital,METDNNBNKNESNLQEWPXH,general_purchase,mybank,3696969600,1133.072216,TWD
3697017442,fund,40,customer_id,"""{\""action\"": {\""amt\"": 1133.0722155472808, \""currency_code\"": \""TWD\""}}"",3696969600",MyBank,digital,METDNNBNKNESNLQEWPXH,general_purchase,mybank,3696969600,1133.072216,TWD
3697018916,TWD_demand_deposit,15,customer_id,"""{\""action\"": {\""amt\"": 47.3346573365205, \""currency_code\"": \""TWD\""}}"",3696969600",MyBank,digital,FRPUKIGLTVSDAWFEVYBZ,credit_card_payment,mybank,3696969600,47.33465734,TWD
3697018916,TWD_demand_deposit,40,customer_id,"""{\""action\"": {\""amt\"": 47.3346573365205, \""currency_code\"": \""TWD\""}}"",3696969600",MyBank,digital,FRPUKIGLTVSDAWFEVYBZ,credit_card_payment,mybank,3696969600,47.33465734,TWD
3697024081,fund,22,customer_id,"""{\""action\"": {\""amt\"": 261.85890072460455, \""currency_code\"": \""USD\""}}"",3696969600",MyBank,digital,XUSXWXTTEPPGDUGOISML,fixed_quota_purchase,mybank,3696969600,261.8589007,USD
3697024081,fund,47,customer_id,"""{\""action\"": {\""amt\"": 261.85890072460455, \""currency_code\"": \""USD\""}}"",3696969600",MyBank,digital,XUSXWXTTEPPGDUGOISML,fixed_quota_purchase,mybank,3696969600,261.8589007,USD
3697034384,fund,15,customer_id,"""{\""action\"": {\""amt\"": 340.47476528636236, \""currency_code\"": \""TWD\""}}"",3696969600",MMB,digital,OXLSCDITRMTASUMRCGRS,general_purchase,mybank,3696969600,340.4747653,TWD
3697034384,fund,40,customer_id,"""{\""action\"": {\""amt\"": 340.47476528636236, \""currency_code\"": \""TWD\""}}"",3696969600",MMB,digital,OXLSCDITRMTASUMRCGRS,general_purchase,mybank,3696969600,340.4747653,TWD
3697044224,fund,18,customer_id,"""{\""action\"": {\""amt\"": 2476.6665194986554, \""currency_code\"": \""TWD\""}}"",3696969600",MMB,digital,QFNLZXGABIIBBIQSADKD,fixed_quota_purchase,mybank,3696969600,2476.666519,TWD
3697044224,fund,43,customer_id,"""{\""action\"": {\""amt\"": 2476.6665194986554, \""currency_code\"": \""TWD\""}}"",3696969600",MMB,digital,QFNLZXGABIIBBIQSADKD,fixed_quota_purchase,mybank,3696969600,2476.666519,TWD
3697051620,fund,2,customer_id,"""{\""action\"": {\""amt\"": 3543.9143542621555, \""currency_code\"": \""TWD\""}}"",3696969600",MMB,digital,NEQKVTZQRDKBFTWTHSVB,general_purchase,mybank,3696969600,3543.914354,TWD
